layer,mean_accuracy_all,mean_accuracy_cross_lingual,mean_accuracy_self,mean_macro_f1_all,mean_macro_f1_cross_lingual,mean_macro_f1_self,num_pairs_all,num_pairs_cross_lingual
0,0.4245033957420185,0.3360787208618732,0.7782020952625995,0.26704837940037973,0.17829821459851,0.6220490386078588,25,20
1,0.4863960784186538,0.4103608543933285,0.7905369745199553,0.30569175905793294,0.2190907848767508,0.6520956557826614,25,20
2,0.5166178970041654,0.4434572743133927,0.809260387767256,0.332312529802734,0.24664628678934958,0.6749775018562719,25,20
3,0.5525339021056345,0.4765212832416382,0.8565843775616194,0.37846708132005064,0.29274110701464195,0.7213709785416851,25,20
4,0.5603657004405102,0.4836410550720311,0.8672642819144267,0.3863535467309485,0.29991396345115284,0.7321118798501313,25,20
5,0.5533900124223541,0.47349162188741206,0.8729835745621222,0.38506025144494915,0.29716034101401284,0.7366598931686943,25,20
6,0.5435369420903696,0.46124474840280144,0.8727057168406424,0.3817162801566245,0.29325558637634785,0.7355590552777308,25,20
7,0.546109463764911,0.4657089132079242,0.8677116659928579,0.37583633772462016,0.28720061613622105,0.7303792240782166,25,20
8,0.5429953403048686,0.46299816345611033,0.862984047699902,0.3706426063414541,0.28251226218253206,0.7231639829771421,25,20
9,0.5355611798801804,0.45465506512327825,0.859185638907789,0.3684188325924164,0.2807988388015614,0.7188988077558364,25,20
10,0.5163806169231195,0.4318134661916674,0.8546492198489283,0.35344857290119164,0.26313053923232643,0.7147207075766524,25,20
