layer,mean_accuracy_all,mean_accuracy_cross_lingual,mean_accuracy_self,mean_macro_f1_all,mean_macro_f1_cross_lingual,mean_macro_f1_self,num_pairs_all,num_pairs_cross_lingual
0,0.398393280192131,0.3193559382559419,0.7145426479368876,0.2520993523571018,0.1696509204161235,0.5818930801210148,25,20
1,0.4195182076247409,0.34460900424258745,0.719155021153355,0.2587276659637873,0.1781118308597266,0.5811910063800302,25,20
2,0.46312240396159265,0.38031405618727543,0.7943557950588616,0.2843114465215274,0.19345372121306942,0.6477423477553594,25,20
3,0.4639724457046595,0.3773419544714354,0.8104944106375559,0.2824857642562972,0.18627405491095458,0.6673326016376675,25,20
4,0.4724685091302312,0.3856557143589124,0.8197196882155063,0.287494671142076,0.18960636432977915,0.6790478983912633,25,20
5,0.4819129066994843,0.39633817611235245,0.8242118290480116,0.29062574942659075,0.19181690883957034,0.6858611117746725,25,20
6,0.49524502099609224,0.4129234416711472,0.8245313382958723,0.30083922139366076,0.20618394282839875,0.6794603356547089,25,20
7,0.5029504966161196,0.421055276464332,0.8305313772232695,0.31625267608890395,0.22268254813473973,0.690533187905561,25,20
8,0.5285856491355386,0.4513561983712533,0.8375034521926802,0.3382127701087305,0.24774509500633343,0.7000834705183191,25,20
9,0.546631805354765,0.47132059566464396,0.8478766441152491,0.35381782625951624,0.264643329904252,0.710515811680573,25,20
10,0.542637488740799,0.4662096444240046,0.8483488660079764,0.354108760517044,0.26563754887850644,0.707993607071194,25,20
11,0.5471687124125952,0.47258923182881996,0.8454866347476966,0.3594119344987283,0.2743151626354537,0.699799021951827,25,20
12,0.5467335563980472,0.4722415192062689,0.8447017051651603,0.3651306166176485,0.27972044104532057,0.7067713189069602,25,20
13,0.5296095073417751,0.4522238909952632,0.8391519727278229,0.35316119170180665,0.2658281972249451,0.7024931696092529,25,20
14,0.5350542889055101,0.4599425652581653,0.8355011834948893,0.3571709368196352,0.27224368136327104,0.6968799586450918,25,20
15,0.5378921153412948,0.46406412800002866,0.8332040647063594,0.36302624482387735,0.2796596554354388,0.6964926023776312,25,20
16,0.5335658556622812,0.45926275568135366,0.8307782555859914,0.3536240925411257,0.268885650186398,0.6925778619600365,25,20
17,0.5345642522631597,0.461016107451291,0.8287568315106343,0.3556537677436178,0.27502900638093897,0.6781528131943333,25,20
18,0.5383761210121935,0.4675095314437508,0.8218424792859643,0.36004346309801893,0.2788223096548258,0.6849280768707916,25,20
19,0.5388997392537015,0.4685172689011347,0.8204296206639683,0.3594384503046231,0.279554469130078,0.6789743750028039,25,20
20,0.5378715090664056,0.46698635578830733,0.8214121221787986,0.3525723316633369,0.27530388187069665,0.6616461308338981,25,20
21,0.5283024773411202,0.45395682299338985,0.8256850947320421,0.3502826090854792,0.26903587504466536,0.6752695452487345,25,20
22,0.518059498383581,0.44432622373099206,0.8129925969939364,0.32738119670295496,0.24700197762872453,0.6488980729998766,25,20
23,0.5172609512131957,0.44192370251637286,0.818609946000487,0.3273131683630461,0.24249442919577696,0.6665881250321225,25,20
24,0.47027652739080084,0.38139820406147457,0.8257898207081059,0.30123359028046276,0.20455067449902273,0.6879652534062226,25,20
